,Buying,Maint,Doors,Persons,Lugboot,Safety,y
73,4,4,4,5,1,1,negative
74,4,4,4,5,1,2,negative
75,4,4,4,5,1,3,negative
76,4,4,4,5,2,1,negative
77,4,4,4,5,2,2,negative
78,4,4,4,5,2,3,negative
79,4,4,4,5,3,1,negative
80,4,4,4,5,3,2,negative
81,4,4,4,5,3,3,negative
82,4,4,5,2,1,1,negative
83,4,4,5,2,1,2,negative
84,4,4,5,2,1,3,negative
85,4,4,5,2,2,1,negative
86,4,4,5,2,2,2,negative
87,4,4,5,2,2,3,negative
88,4,4,5,2,3,1,negative
89,4,4,5,2,3,2,negative
90,4,4,5,2,3,3,negative
91,4,4,5,4,1,1,negative
92,4,4,5,4,1,2,negative
93,4,4,5,4,1,3,negative
94,4,4,5,4,2,1,negative
95,4,4,5,4,2,2,negative
96,4,4,5,4,2,3,negative
97,4,4,5,4,3,1,negative
98,4,4,5,4,3,2,negative
99,4,4,5,4,3,3,negative
100,4,4,5,5,1,1,negative
101,4,4,5,5,1,2,negative
102,4,4,5,5,1,3,negative
103,4,4,5,5,2,1,negative
104,4,4,5,5,2,2,negative
105,4,4,5,5,2,3,negative
106,4,4,5,5,3,1,negative
107,4,4,5,5,3,2,negative
108,4,4,5,5,3,3,negative
109,4,3,2,2,1,1,negative
110,4,3,2,2,1,2,negative
111,4,3,2,2,1,3,negative
112,4,3,2,2,2,1,negative
113,4,3,2,2,2,2,negative
114,4,3,2,2,2,3,negative
115,4,3,2,2,3,1,negative
116,4,3,2,2,3,2,negative
117,4,3,2,2,3,3,negative
118,4,3,2,4,1,1,negative
119,4,3,2,4,1,2,negative
120,4,3,2,4,1,3,negative
121,4,3,2,4,2,1,negative
122,4,3,2,4,2,2,negative
123,4,3,2,4,2,3,negative
124,4,3,2,4,3,1,negative
125,4,3,2,4,3,2,negative
126,4,3,2,4,3,3,negative
127,4,3,2,5,1,1,negative
128,4,3,2,5,1,2,negative
129,4,3,2,5,1,3,negative
130,4,3,2,5,2,1,negative
131,4,3,2,5,2,2,negative
132,4,3,2,5,2,3,negative
133,4,3,2,5,3,1,negative
134,4,3,2,5,3,2,negative
135,4,3,2,5,3,3,negative
136,4,3,3,2,1,1,negative
137,4,3,3,2,1,2,negative
138,4,3,3,2,1,3,negative
139,4,3,3,2,2,1,negative
140,4,3,3,2,2,2,negative
141,4,3,3,2,2,3,negative
142,4,3,3,2,3,1,negative
143,4,3,3,2,3,2,negative
144,4,3,3,2,3,3,negative
145,4,3,3,4,1,1,negative
146,4,3,3,4,1,2,negative
147,4,3,3,4,1,3,negative
148,4,3,3,4,2,1,negative
149,4,3,3,4,2,2,negative
150,4,3,3,4,2,3,negative
151,4,3,3,4,3,1,negative
152,4,3,3,4,3,2,negative
153,4,3,3,4,3,3,negative
154,4,3,3,5,1,1,negative
155,4,3,3,5,1,2,negative
156,4,3,3,5,1,3,negative
157,4,3,3,5,2,1,negative
158,4,3,3,5,2,2,negative
159,4,3,3,5,2,3,negative
160,4,3,3,5,3,1,negative
161,4,3,3,5,3,2,negative
162,4,3,3,5,3,3,negative
163,4,3,4,2,1,1,negative
164,4,3,4,2,1,2,negative
165,4,3,4,2,1,3,negative
166,4,3,4,2,2,1,negative
167,4,3,4,2,2,2,negative
168,4,3,4,2,2,3,negative
169,4,3,4,2,3,1,negative
170,4,3,4,2,3,2,negative
171,4,3,4,2,3,3,negative
172,4,3,4,4,1,1,negative
173,4,3,4,4,1,2,negative
174,4,3,4,4,1,3,negative
175,4,3,4,4,2,1,negative
176,4,3,4,4,2,2,negative
177,4,3,4,4,2,3,negative
178,4,3,4,4,3,1,negative
179,4,3,4,4,3,2,negative
180,4,3,4,4,3,3,negative
181,4,3,4,5,1,1,negative
182,4,3,4,5,1,2,negative
183,4,3,4,5,1,3,negative
184,4,3,4,5,2,1,negative
185,4,3,4,5,2,2,negative
186,4,3,4,5,2,3,negative
187,4,3,4,5,3,1,negative
188,4,3,4,5,3,2,negative
189,4,3,4,5,3,3,negative
190,4,3,5,2,1,1,negative
191,4,3,5,2,1,2,negative
192,4,3,5,2,1,3,negative
193,4,3,5,2,2,1,negative
194,4,3,5,2,2,2,negative
195,4,3,5,2,2,3,negative
196,4,3,5,2,3,1,negative
197,4,3,5,2,3,2,negative
198,4,3,5,2,3,3,negative
199,4,3,5,4,1,1,negative
200,4,3,5,4,1,2,negative
201,4,3,5,4,1,3,negative
202,4,3,5,4,2,1,negative
203,4,3,5,4,2,2,negative
204,4,3,5,4,2,3,negative
205,4,3,5,4,3,1,negative
206,4,3,5,4,3,2,negative
207,4,3,5,4,3,3,negative
208,4,3,5,5,1,1,negative
209,4,3,5,5,1,2,negative
210,4,3,5,5,1,3,negative
211,4,3,5,5,2,1,negative
212,4,3,5,5,2,2,negative
213,4,3,5,5,2,3,negative
214,4,3,5,5,3,1,negative
215,4,3,5,5,3,2,negative
216,4,3,5,5,3,3,negative
217,4,2,2,2,1,1,negative
218,4,2,2,2,1,2,negative
219,4,2,2,2,1,3,negative
220,4,2,2,2,2,1,negative
221,4,2,2,2,2,2,negative
222,4,2,2,2,2,3,negative
223,4,2,2,2,3,1,negative
224,4,2,2,2,3,2,negative
225,4,2,2,2,3,3,negative
226,4,2,2,4,1,1,negative
227,4,2,2,4,1,2,negative
228,4,2,2,4,1,3,negative
229,4,2,2,4,2,1,negative
230,4,2,2,4,2,2,negative
231,4,2,2,4,2,3,negative
232,4,2,2,4,3,1,negative
233,4,2,2,4,3,2,negative
234,4,2,2,4,3,3,negative
235,4,2,2,5,1,1,negative
236,4,2,2,5,1,2,negative
237,4,2,2,5,1,3,negative
238,4,2,2,5,2,1,negative
239,4,2,2,5,2,2,negative
240,4,2,2,5,2,3,negative
241,4,2,2,5,3,1,negative
242,4,2,2,5,3,2,negative
243,4,2,2,5,3,3,negative
244,4,2,3,2,1,1,negative
245,4,2,3,2,1,2,negative
246,4,2,3,2,1,3,negative
247,4,2,3,2,2,1,negative
248,4,2,3,2,2,2,negative
249,4,2,3,2,2,3,negative
250,4,2,3,2,3,1,negative
251,4,2,3,2,3,2,negative
252,4,2,3,2,3,3,negative
253,4,2,3,4,1,1,negative
254,4,2,3,4,1,2,negative
255,4,2,3,4,1,3,negative
256,4,2,3,4,2,1,negative
257,4,2,3,4,2,2,negative
258,4,2,3,4,2,3,negative
259,4,2,3,4,3,1,negative
260,4,2,3,4,3,2,negative
261,4,2,3,4,3,3,negative
262,4,2,3,5,1,1,negative
263,4,2,3,5,1,2,negative
264,4,2,3,5,1,3,negative
265,4,2,3,5,2,1,negative
266,4,2,3,5,2,2,negative
267,4,2,3,5,2,3,negative
268,4,2,3,5,3,1,negative
269,4,2,3,5,3,2,negative
270,4,2,3,5,3,3,negative
271,4,2,4,2,1,1,negative
272,4,2,4,2,1,2,negative
273,4,2,4,2,1,3,negative
274,4,2,4,2,2,1,negative
275,4,2,4,2,2,2,negative
276,4,2,4,2,2,3,negative
277,4,2,4,2,3,1,negative
278,4,2,4,2,3,2,negative
279,4,2,4,2,3,3,negative
280,4,2,4,4,1,1,negative
281,4,2,4,4,1,2,negative
282,4,2,4,4,1,3,negative
283,4,2,4,4,2,1,negative
284,4,2,4,4,2,2,negative
285,4,2,4,4,2,3,negative
286,4,2,4,4,3,1,negative
287,4,2,4,4,3,2,negative
288,4,2,4,4,3,3,negative
289,4,2,4,5,1,1,negative
290,4,2,4,5,1,2,negative
291,4,2,4,5,1,3,negative
292,4,2,4,5,2,1,negative
293,4,2,4,5,2,2,negative
294,4,2,4,5,2,3,negative
295,4,2,4,5,3,1,negative
296,4,2,4,5,3,2,negative
297,4,2,4,5,3,3,negative
298,4,2,5,2,1,1,negative
299,4,2,5,2,1,2,negative
300,4,2,5,2,1,3,negative
301,4,2,5,2,2,1,negative
302,4,2,5,2,2,2,negative
303,4,2,5,2,2,3,negative
304,4,2,5,2,3,1,negative
305,4,2,5,2,3,2,negative
306,4,2,5,2,3,3,negative
307,4,2,5,4,1,1,negative
308,4,2,5,4,1,2,negative
309,4,2,5,4,1,3,negative
310,4,2,5,4,2,1,negative
311,4,2,5,4,2,2,negative
312,4,2,5,4,2,3,negative
313,4,2,5,4,3,1,negative
314,4,2,5,4,3,2,negative
315,4,2,5,4,3,3,negative
316,4,2,5,5,1,1,negative
317,4,2,5,5,1,2,negative
318,4,2,5,5,1,3,negative
319,4,2,5,5,2,1,negative
320,4,2,5,5,2,2,negative
321,4,2,5,5,2,3,negative
322,4,2,5,5,3,1,negative
323,4,2,5,5,3,2,negative
324,4,2,5,5,3,3,negative
325,4,1,2,2,1,1,negative
326,4,1,2,2,1,2,negative
327,4,1,2,2,1,3,negative
328,4,1,2,2,2,1,negative
329,4,1,2,2,2,2,negative
330,4,1,2,2,2,3,negative
331,4,1,2,2,3,1,negative
332,4,1,2,2,3,2,negative
333,4,1,2,2,3,3,negative
334,4,1,2,4,1,1,negative
335,4,1,2,4,1,2,negative
336,4,1,2,4,1,3,negative
337,4,1,2,4,2,1,negative
338,4,1,2,4,2,2,negative
339,4,1,2,4,2,3,negative
340,4,1,2,4,3,1,negative
341,4,1,2,4,3,2,negative
342,4,1,2,4,3,3,negative
343,4,1,2,5,1,1,negative
344,4,1,2,5,1,2,negative
345,4,1,2,5,1,3,negative
346,4,1,2,5,2,1,negative
347,4,1,2,5,2,2,negative
348,4,1,2,5,2,3,negative
349,4,1,2,5,3,1,negative
350,4,1,2,5,3,2,negative
351,4,1,2,5,3,3,negative
352,4,1,3,2,1,1,negative
353,4,1,3,2,1,2,negative
354,4,1,3,2,1,3,negative
355,4,1,3,2,2,1,negative
356,4,1,3,2,2,2,negative
357,4,1,3,2,2,3,negative
358,4,1,3,2,3,1,negative
359,4,1,3,2,3,2,negative
360,4,1,3,2,3,3,negative
361,4,1,3,4,1,1,negative
362,4,1,3,4,1,2,negative
363,4,1,3,4,1,3,negative
364,4,1,3,4,2,1,negative
365,4,1,3,4,2,2,negative
366,4,1,3,4,2,3,negative
367,4,1,3,4,3,1,negative
368,4,1,3,4,3,2,negative
369,4,1,3,4,3,3,negative
370,4,1,3,5,1,1,negative
371,4,1,3,5,1,2,negative
372,4,1,3,5,1,3,negative
373,4,1,3,5,2,1,negative
374,4,1,3,5,2,2,negative
375,4,1,3,5,2,3,negative
376,4,1,3,5,3,1,negative
377,4,1,3,5,3,2,negative
378,4,1,3,5,3,3,negative
379,4,1,4,2,1,1,negative
380,4,1,4,2,1,2,negative
381,4,1,4,2,1,3,negative
382,4,1,4,2,2,1,negative
383,4,1,4,2,2,2,negative
384,4,1,4,2,2,3,negative
385,4,1,4,2,3,1,negative
386,4,1,4,2,3,2,negative
387,4,1,4,2,3,3,negative
388,4,1,4,4,1,1,negative
389,4,1,4,4,1,2,negative
390,4,1,4,4,1,3,negative
391,4,1,4,4,2,1,negative
392,4,1,4,4,2,2,negative
393,4,1,4,4,2,3,negative
394,4,1,4,4,3,1,negative
395,4,1,4,4,3,2,negative
396,4,1,4,4,3,3,negative
397,4,1,4,5,1,1,negative
398,4,1,4,5,1,2,negative
399,4,1,4,5,1,3,negative
400,4,1,4,5,2,1,negative
401,4,1,4,5,2,2,negative
402,4,1,4,5,2,3,negative
403,4,1,4,5,3,1,negative
404,4,1,4,5,3,2,negative
405,4,1,4,5,3,3,negative
406,4,1,5,2,1,1,negative
407,4,1,5,2,1,2,negative
408,4,1,5,2,1,3,negative
409,4,1,5,2,2,1,negative
410,4,1,5,2,2,2,negative
411,4,1,5,2,2,3,negative
412,4,1,5,2,3,1,negative
413,4,1,5,2,3,2,negative
414,4,1,5,2,3,3,negative
415,4,1,5,4,1,1,negative
416,4,1,5,4,1,2,negative
417,4,1,5,4,1,3,negative
418,4,1,5,4,2,1,negative
419,4,1,5,4,2,2,negative
420,4,1,5,4,2,3,negative
421,4,1,5,4,3,1,negative
422,4,1,5,4,3,2,negative
423,4,1,5,4,3,3,negative
424,4,1,5,5,1,1,negative
425,4,1,5,5,1,2,negative
426,4,1,5,5,1,3,negative
427,4,1,5,5,2,1,negative
428,4,1,5,5,2,2,negative
429,4,1,5,5,2,3,negative
430,4,1,5,5,3,1,negative
431,4,1,5,5,3,2,negative
432,4,1,5,5,3,3,negative
433,3,4,2,2,1,1,negative
434,3,4,2,2,1,2,negative
435,3,4,2,2,1,3,negative
436,3,4,2,2,2,1,negative
437,3,4,2,2,2,2,negative
438,3,4,2,2,2,3,negative
439,3,4,2,2,3,1,negative
440,3,4,2,2,3,2,negative
441,3,4,2,2,3,3,negative
442,3,4,2,4,1,1,negative
443,3,4,2,4,1,2,negative
444,3,4,2,4,1,3,negative
445,3,4,2,4,2,1,negative
446,3,4,2,4,2,2,negative
447,3,4,2,4,2,3,negative
448,3,4,2,4,3,1,negative
449,3,4,2,4,3,2,negative
450,3,4,2,4,3,3,negative
451,3,4,2,5,1,1,negative
452,3,4,2,5,1,2,negative
453,3,4,2,5,1,3,negative
454,3,4,2,5,2,1,negative
455,3,4,2,5,2,2,negative
456,3,4,2,5,2,3,negative
457,3,4,2,5,3,1,negative
458,3,4,2,5,3,2,negative
459,3,4,2,5,3,3,negative
460,3,4,3,2,1,1,negative
461,3,4,3,2,1,2,negative
462,3,4,3,2,1,3,negative
463,3,4,3,2,2,1,negative
464,3,4,3,2,2,2,negative
465,3,4,3,2,2,3,negative
466,3,4,3,2,3,1,negative
467,3,4,3,2,3,2,negative
468,3,4,3,2,3,3,negative
469,3,4,3,4,1,1,negative
470,3,4,3,4,1,2,negative
471,3,4,3,4,1,3,negative
472,3,4,3,4,2,1,negative
473,3,4,3,4,2,2,negative
474,3,4,3,4,2,3,negative
475,3,4,3,4,3,1,negative
476,3,4,3,4,3,2,negative
477,3,4,3,4,3,3,negative
478,3,4,3,5,1,1,negative
479,3,4,3,5,1,2,negative
480,3,4,3,5,1,3,negative
481,3,4,3,5,2,1,negative
482,3,4,3,5,2,2,negative
483,3,4,3,5,2,3,negative
484,3,4,3,5,3,1,negative
485,3,4,3,5,3,2,negative
486,3,4,3,5,3,3,negative
487,3,4,4,2,1,1,negative
488,3,4,4,2,1,2,negative
489,3,4,4,2,1,3,negative
490,3,4,4,2,2,1,negative
491,3,4,4,2,2,2,negative
492,3,4,4,2,2,3,negative
493,3,4,4,2,3,1,negative
494,3,4,4,2,3,2,negative
495,3,4,4,2,3,3,negative
496,3,4,4,4,1,1,negative
497,3,4,4,4,1,2,negative
498,3,4,4,4,1,3,negative
499,3,4,4,4,2,1,negative
500,3,4,4,4,2,2,negative
501,3,4,4,4,2,3,negative
502,3,4,4,4,3,1,negative
503,3,4,4,4,3,2,negative
504,3,4,4,4,3,3,negative
505,3,4,4,5,1,1,negative
506,3,4,4,5,1,2,negative
507,3,4,4,5,1,3,negative
508,3,4,4,5,2,1,negative
509,3,4,4,5,2,2,negative
510,3,4,4,5,2,3,negative
511,3,4,4,5,3,1,negative
512,3,4,4,5,3,2,negative
513,3,4,4,5,3,3,negative
514,3,4,5,2,1,1,negative
515,3,4,5,2,1,2,negative
516,3,4,5,2,1,3,negative
517,3,4,5,2,2,1,negative
518,3,4,5,2,2,2,negative
519,3,4,5,2,2,3,negative
520,3,4,5,2,3,1,negative
521,3,4,5,2,3,2,negative
522,3,4,5,2,3,3,negative
523,3,4,5,4,1,1,negative
524,3,4,5,4,1,2,negative
525,3,4,5,4,1,3,negative
526,3,4,5,4,2,1,negative
527,3,4,5,4,2,2,negative
528,3,4,5,4,2,3,negative
529,3,4,5,4,3,1,negative
530,3,4,5,4,3,2,negative
531,3,4,5,4,3,3,negative
532,3,4,5,5,1,1,negative
533,3,4,5,5,1,2,negative
534,3,4,5,5,1,3,negative
535,3,4,5,5,2,1,negative
536,3,4,5,5,2,2,negative
537,3,4,5,5,2,3,negative
538,3,4,5,5,3,1,negative
539,3,4,5,5,3,2,negative
540,3,4,5,5,3,3,negative
541,3,3,2,2,1,1,negative
542,3,3,2,2,1,2,negative
543,3,3,2,2,1,3,negative
544,3,3,2,2,2,1,negative
545,3,3,2,2,2,2,negative
546,3,3,2,2,2,3,negative
547,3,3,2,2,3,1,negative
548,3,3,2,2,3,2,negative
549,3,3,2,2,3,3,negative
550,3,3,2,4,1,1,negative
551,3,3,2,4,1,2,negative
552,3,3,2,4,1,3,negative
553,3,3,2,4,2,1,negative
554,3,3,2,4,2,2,negative
555,3,3,2,4,2,3,negative
556,3,3,2,4,3,1,negative
557,3,3,2,4,3,2,negative
558,3,3,2,4,3,3,negative
559,3,3,2,5,1,1,negative
560,3,3,2,5,1,2,negative
561,3,3,2,5,1,3,negative
562,3,3,2,5,2,1,negative
563,3,3,2,5,2,2,negative
564,3,3,2,5,2,3,negative
565,3,3,2,5,3,1,negative
566,3,3,2,5,3,2,negative
567,3,3,2,5,3,3,negative
568,3,3,3,2,1,1,negative
569,3,3,3,2,1,2,negative
570,3,3,3,2,1,3,negative
571,3,3,3,2,2,1,negative
572,3,3,3,2,2,2,negative
573,3,3,3,2,2,3,negative
574,3,3,3,2,3,1,negative
575,3,3,3,2,3,2,negative
576,3,3,3,2,3,3,negative
577,3,3,3,4,1,1,negative
578,3,3,3,4,1,2,negative
579,3,3,3,4,1,3,negative
580,3,3,3,4,2,1,negative
581,3,3,3,4,2,2,negative
582,3,3,3,4,2,3,negative
583,3,3,3,4,3,1,negative
584,3,3,3,4,3,2,negative
585,3,3,3,4,3,3,negative
586,3,3,3,5,1,1,negative
587,3,3,3,5,1,2,negative
588,3,3,3,5,1,3,negative
589,3,3,3,5,2,1,negative
590,3,3,3,5,2,2,negative
591,3,3,3,5,2,3,negative
592,3,3,3,5,3,1,negative
593,3,3,3,5,3,2,negative
594,3,3,3,5,3,3,negative
595,3,3,4,2,1,1,negative
596,3,3,4,2,1,2,negative
597,3,3,4,2,1,3,negative
598,3,3,4,2,2,1,negative
599,3,3,4,2,2,2,negative
600,3,3,4,2,2,3,negative
601,3,3,4,2,3,1,negative
602,3,3,4,2,3,2,negative
603,3,3,4,2,3,3,negative
604,3,3,4,4,1,1,negative
605,3,3,4,4,1,2,negative
606,3,3,4,4,1,3,negative
607,3,3,4,4,2,1,negative
608,3,3,4,4,2,2,negative
609,3,3,4,4,2,3,negative
610,3,3,4,4,3,1,negative
611,3,3,4,4,3,2,negative
612,3,3,4,4,3,3,negative
613,3,3,4,5,1,1,negative
614,3,3,4,5,1,2,negative
615,3,3,4,5,1,3,negative
616,3,3,4,5,2,1,negative
617,3,3,4,5,2,2,negative
618,3,3,4,5,2,3,negative
619,3,3,4,5,3,1,negative
620,3,3,4,5,3,2,negative
621,3,3,4,5,3,3,negative
622,3,3,5,2,1,1,negative
623,3,3,5,2,1,2,negative
624,3,3,5,2,1,3,negative
625,3,3,5,2,2,1,negative
626,3,3,5,2,2,2,negative
627,3,3,5,2,2,3,negative
628,3,3,5,2,3,1,negative
629,3,3,5,2,3,2,negative
630,3,3,5,2,3,3,negative
631,3,3,5,4,1,1,negative
632,3,3,5,4,1,2,negative
633,3,3,5,4,1,3,negative
634,3,3,5,4,2,1,negative
635,3,3,5,4,2,2,negative
636,3,3,5,4,2,3,negative
637,3,3,5,4,3,1,negative
638,3,3,5,4,3,2,negative
639,3,3,5,4,3,3,negative
640,3,3,5,5,1,1,negative
641,3,3,5,5,1,2,negative
642,3,3,5,5,1,3,negative
643,3,3,5,5,2,1,negative
644,3,3,5,5,2,2,negative
645,3,3,5,5,2,3,negative
646,3,3,5,5,3,1,negative
647,3,3,5,5,3,2,negative
648,3,3,5,5,3,3,negative
649,3,2,2,2,1,1,negative
650,3,2,2,2,1,2,negative
651,3,2,2,2,1,3,negative
652,3,2,2,2,2,1,negative
653,3,2,2,2,2,2,negative
654,3,2,2,2,2,3,negative
655,3,2,2,2,3,1,negative
656,3,2,2,2,3,2,negative
657,3,2,2,2,3,3,negative
658,3,2,2,4,1,1,negative
659,3,2,2,4,1,2,negative
660,3,2,2,4,1,3,negative
661,3,2,2,4,2,1,negative
662,3,2,2,4,2,2,negative
663,3,2,2,4,2,3,negative
664,3,2,2,4,3,1,negative
665,3,2,2,4,3,2,negative
666,3,2,2,4,3,3,negative
667,3,2,2,5,1,1,negative
668,3,2,2,5,1,2,negative
669,3,2,2,5,1,3,negative
670,3,2,2,5,2,1,negative
671,3,2,2,5,2,2,negative
672,3,2,2,5,2,3,negative
673,3,2,2,5,3,1,negative
674,3,2,2,5,3,2,negative
675,3,2,2,5,3,3,negative
676,3,2,3,2,1,1,negative
677,3,2,3,2,1,2,negative
678,3,2,3,2,1,3,negative
679,3,2,3,2,2,1,negative
680,3,2,3,2,2,2,negative
681,3,2,3,2,2,3,negative
682,3,2,3,2,3,1,negative
683,3,2,3,2,3,2,negative
684,3,2,3,2,3,3,negative
685,3,2,3,4,1,1,negative
686,3,2,3,4,1,2,negative
687,3,2,3,4,1,3,negative
688,3,2,3,4,2,1,negative
689,3,2,3,4,2,2,negative
690,3,2,3,4,2,3,negative
691,3,2,3,4,3,1,negative
692,3,2,3,4,3,2,negative
693,3,2,3,4,3,3,negative
694,3,2,3,5,1,1,negative
695,3,2,3,5,1,2,negative
696,3,2,3,5,1,3,negative
697,3,2,3,5,2,1,negative
698,3,2,3,5,2,2,negative
699,3,2,3,5,2,3,negative
700,3,2,3,5,3,1,negative
701,3,2,3,5,3,2,negative
702,3,2,3,5,3,3,negative
703,3,2,4,2,1,1,negative
704,3,2,4,2,1,2,negative
705,3,2,4,2,1,3,negative
706,3,2,4,2,2,1,negative
707,3,2,4,2,2,2,negative
708,3,2,4,2,2,3,negative
709,3,2,4,2,3,1,negative
710,3,2,4,2,3,2,negative
711,3,2,4,2,3,3,negative
712,3,2,4,4,1,1,negative
713,3,2,4,4,1,2,negative
714,3,2,4,4,1,3,negative
715,3,2,4,4,2,1,negative
716,3,2,4,4,2,2,negative
717,3,2,4,4,2,3,negative
718,3,2,4,4,3,1,negative
719,3,2,4,4,3,2,negative
720,3,2,4,4,3,3,negative
721,3,2,4,5,1,1,negative
722,3,2,4,5,1,2,negative
723,3,2,4,5,1,3,negative
724,3,2,4,5,2,1,negative
725,3,2,4,5,2,2,negative
726,3,2,4,5,2,3,negative
727,3,2,4,5,3,1,negative
728,3,2,4,5,3,2,negative
729,3,2,4,5,3,3,negative
730,3,2,5,2,1,1,negative
731,3,2,5,2,1,2,negative
732,3,2,5,2,1,3,negative
733,3,2,5,2,2,1,negative
734,3,2,5,2,2,2,negative
735,3,2,5,2,2,3,negative
736,3,2,5,2,3,1,negative
737,3,2,5,2,3,2,negative
738,3,2,5,2,3,3,negative
739,3,2,5,4,1,1,negative
740,3,2,5,4,1,2,negative
741,3,2,5,4,1,3,negative
742,3,2,5,4,2,1,negative
743,3,2,5,4,2,2,negative
744,3,2,5,4,2,3,negative
745,3,2,5,4,3,1,negative
746,3,2,5,4,3,2,negative
747,3,2,5,4,3,3,negative
748,3,2,5,5,1,1,negative
749,3,2,5,5,1,2,negative
750,3,2,5,5,1,3,negative
751,3,2,5,5,2,1,negative
752,3,2,5,5,2,2,negative
753,3,2,5,5,2,3,negative
754,3,2,5,5,3,1,negative
755,3,2,5,5,3,2,negative
756,3,2,5,5,3,3,negative
757,3,1,2,2,1,1,negative
758,3,1,2,2,1,2,negative
759,3,1,2,2,1,3,negative
760,3,1,2,2,2,1,negative
761,3,1,2,2,2,2,negative
762,3,1,2,2,2,3,negative
763,3,1,2,2,3,1,negative
764,3,1,2,2,3,2,negative
765,3,1,2,2,3,3,negative
766,3,1,2,4,1,1,negative
767,3,1,2,4,1,2,negative
768,3,1,2,4,1,3,negative
769,3,1,2,4,2,1,negative
770,3,1,2,4,2,2,negative
771,3,1,2,4,2,3,negative
772,3,1,2,4,3,1,negative
773,3,1,2,4,3,2,negative
774,3,1,2,4,3,3,negative
775,3,1,2,5,1,1,negative
776,3,1,2,5,1,2,negative
777,3,1,2,5,1,3,negative
778,3,1,2,5,2,1,negative
779,3,1,2,5,2,2,negative
780,3,1,2,5,2,3,negative
781,3,1,2,5,3,1,negative
782,3,1,2,5,3,2,negative
783,3,1,2,5,3,3,negative
784,3,1,3,2,1,1,negative
785,3,1,3,2,1,2,negative
786,3,1,3,2,1,3,negative
787,3,1,3,2,2,1,negative
788,3,1,3,2,2,2,negative
789,3,1,3,2,2,3,negative
790,3,1,3,2,3,1,negative
791,3,1,3,2,3,2,negative
792,3,1,3,2,3,3,negative
793,3,1,3,4,1,1,negative
794,3,1,3,4,1,2,negative
795,3,1,3,4,1,3,negative
796,3,1,3,4,2,1,negative
797,3,1,3,4,2,2,negative
798,3,1,3,4,2,3,negative
799,3,1,3,4,3,1,negative
800,3,1,3,4,3,2,negative
801,3,1,3,4,3,3,negative
802,3,1,3,5,1,1,negative
803,3,1,3,5,1,2,negative
804,3,1,3,5,1,3,negative
805,3,1,3,5,2,1,negative
806,3,1,3,5,2,2,negative
807,3,1,3,5,2,3,negative
808,3,1,3,5,3,1,negative
809,3,1,3,5,3,2,negative
810,3,1,3,5,3,3,negative
811,3,1,4,2,1,1,negative
812,3,1,4,2,1,2,negative
813,3,1,4,2,1,3,negative
814,3,1,4,2,2,1,negative
815,3,1,4,2,2,2,negative
816,3,1,4,2,2,3,negative
817,3,1,4,2,3,1,negative
818,3,1,4,2,3,2,negative
819,3,1,4,2,3,3,negative
820,3,1,4,4,1,1,negative
